,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
19,70,57,51,413.7143,540.9123,607.1569,28960,30832,30965,62,491.3548,30464,,,,,,,,,
20,60,52,45,383.8833,462.8269,551.9333,23033,24067,24837,58,409.2414,23736,,,,,,,,,
21,73,56,44,385.0959,531.8214,682.0682,28112,29782,30011,68,435.4853,29613,,,,,,,,,
22,73,58,30,395.2055,516.6897,1015.267,28850,29968,30458,68,436.6618,29693,,,,,,,,,
23,71,61,44,404.5915,499.7049,698.5909,28726,30482,30738,69,434.9855,30014,,,,,,,,,
24,67,46,36,431.9104,655.3696,843.5,28938,30147,30366,63,476.6349,30028,,,,,,,,,
25,94,74,40,299.5213,409.6757,769.975,28155,30316,30799,91,327.3516,29789,,,,,,,,,
26,68,52,41,430.0588,590.4423,753.7805,29244,30703,30905,62,488.7742,30304,,,,,,,,,
27,19,19,11,1673,1689.316,2938.091,31787,32097,32319,28,1133.107,31727,,,,,,,,,
28,67,50,36,387.6119,549.16,775.0833,25970,27458,27903,56,488.4107,27351,,,,,,,,,
29,57,51,33,488.0877,572.0392,896.5758,27821,29174,29587,61,487.541,29740,,,,,,,,,
30,94,65,46,297.2447,460.8769,654.3261,27941,29957,30099,82,357.1829,29289,,,,,,,,,
1,144,97,61,355.9375,550.5155,885.0492,51255,53400,53988,123,428.7805,52740,,,,,,,,,
2,107,98,55,475.8411,544.9592,988.9455,50915,53406,54392,110,482.6,53086,,,,,,,,,
3,123,92,58,436.4959,606.0435,967.8621,53689,55756,56136,116,476.0603,55223,,,,,,,,,
4,137,117,86,371.7883,464.8974,634.7907,50935,54393,54592,136,395.7059,53816,,,,,,,,,
5,123,100,84,432.5447,557.17,668.2262,53203,55717,56131,117,469.5812,54941,,,,,,,,,
